# Alpha158 因子 IC 和 Rank IC 分析结果
分析时间: 2026-04-17 14:14:44.287603
时间范围: 2018-01-01 到 2018-12-31
股票池: csi300
因子数量: 158

## 每个因子的平均 IC 和 Rank IC (按平均 IC 排序)
           avg_ic  avg_rank_ic  rank_ic  rank_rank_ic
2018-12-11   -0.108786
2018-12-12   -0.027804
2018-12-13   -0.078862
2018-12-14    0.026898
2018-12-17   -0.065230
2018-12-18    0.026154
2018-12-19    0.117861
2018-12-20   -0.009708
2018-12-21    0.111358
2018-12-24    0.091210
2018-12-25    0.064691
2018-12-26    0.098868
2018-12-27    0.005815
2018-12-28    0.180774

### 因子: RESI5 (排名: 3)
datetime
2018-01-02    0.072241
2018-01-03   -0.095852
2018-01-04   -0.051916
2018-01-05   -0.009857
2018-01-08    0.078526
2018-01-09    0.062126
2018-01-10    0.049227
2018-01-11   -0.125862
2018-01-12   -0.044167
2018-01-15   -0.108673
2018-01-16    0.035439
2018-01-17    0.347401
2018-01-18    0.000804
2018-01-19   -0.070319
2018-01-22    0.035820
2018-01-23    0.022708
2018-01-24    0.059276
2018-01-25    0.262489
2018-01-26    0.037134
2018-01-29    0.091880
2018-01-30   -0.162037
2018-01-31    0.073431
2018-02-01    0.046642
2018-02-02   -0.175481
2018-02-05    0.263878
2018-02-06   -0.077626
2018-02-07    0.269306
2018-02-08    0.600602
2018-02-09    0.030620
2018-02-12    0.374779
2018-02-13    0.110822
2018-02-14    0.157837
2018-02-22    0.052602
2018-02-23    0.065642
2018-02-26    0.187141
2018-02-27    0.309785
2018-02-28    0.021483
2018-03-01   -0.141850
2018-03-02   -0.007734
2018-03-05   -0.050862
2018-03-06    0.068301
2018-03-07   -0.117210
2018-03-08   -0.221365
2018-03-09   -0.027256
2018-03-12   -0.112782
2018-03-13   -0.028976
2018-03-14    0.109961
2018-03-15    0.130108
2018-03-16   -0.002951
2018-03-19   -0.035722
2018-03-20   -0.039313
2018-03-21    0.096996
2018-03-22   -0.169131
2018-03-23   -0.285475
2018-03-26   -0.055305
2018-03-27    0.075806
2018-03-28   -0.197227
